mean_fit_time,mean_score_time,param_max_depth,param_n_estimators,params,mean_test_score,rank_test_score,mean_train_score
0.03125119209289551,0.0,5.0,5.0,"{'max_depth': 5, 'n_estimators': 5}",0.7752857142857142,99,0.9958571428571429
0.062497854232788086,0.0,5.0,10.0,"{'max_depth': 5, 'n_estimators': 10}",0.773,101,1.0
0.0781240463256836,0.01562190055847168,5.0,15.0,"{'max_depth': 5, 'n_estimators': 15}",0.7987142857142857,82,1.0
0.10937047004699707,0.015622615814208984,5.0,20.0,"{'max_depth': 5, 'n_estimators': 20}",0.8072857142857143,79,1.0
0.12499070167541504,0.015624761581420898,5.0,25.0,"{'max_depth': 5, 'n_estimators': 25}",0.8247142857142857,25,1.0
0.15623855590820312,0.01562356948852539,5.0,30.0,"{'max_depth': 5, 'n_estimators': 30}",0.8278571428571428,16,1.0
0.17186331748962402,0.03124713897705078,5.0,35.0,"{'max_depth': 5, 'n_estimators': 35}",0.8248571428571428,23,1.0
0.20311307907104492,0.03124713897705078,5.0,40.0,"{'max_depth': 5, 'n_estimators': 40}",0.8305714285714285,13,1.0
0.2187364101409912,0.03124833106994629,5.0,45.0,"{'max_depth': 5, 'n_estimators': 45}",0.8308571428571428,12,1.0
0.2499830722808838,0.03124833106994629,5.0,50.0,"{'max_depth': 5, 'n_estimators': 50}",0.8298571428571428,14,1.0
0.03124713897705078,0.0,6.0,5.0,"{'max_depth': 6, 'n_estimators': 5}",0.7677142857142857,102,0.9982857142857143
0.06249642372131348,0.015624046325683594,6.0,10.0,"{'max_depth': 6, 'n_estimators': 10}",0.798,87,1.0
0.09373688697814941,0.0,6.0,15.0,"{'max_depth': 6, 'n_estimators': 15}",0.8081428571428572,77,1.0
0.10936856269836426,0.015624761581420898,6.0,20.0,"{'max_depth': 6, 'n_estimators': 20}",0.82,44,1.0
0.14061522483825684,0.015624523162841797,6.0,25.0,"{'max_depth': 6, 'n_estimators': 25}",0.8412857142857143,2,1.0
0.15624499320983887,0.031241178512573242,6.0,30.0,"{'max_depth': 6, 'n_estimators': 30}",0.8328571428571429,11,1.0
0.1874845027923584,0.015624761581420898,6.0,35.0,"{'max_depth': 6, 'n_estimators': 35}",0.8344285714285714,7,1.0
0.2031116485595703,0.031249046325683594,6.0,40.0,"{'max_depth': 6, 'n_estimators': 40}",0.8404285714285714,3,1.0
0.2343616485595703,0.031247377395629883,6.0,45.0,"{'max_depth': 6, 'n_estimators': 45}",0.8414285714285714,1,1.0
0.24998092651367188,0.046872854232788086,6.0,50.0,"{'max_depth': 6, 'n_estimators': 50}",0.8402857142857143,5,1.0
