mean_fit_time,mean_score_time,param_max_depth,param_n_estimators,params,mean_test_score,rank_test_score,mean_train_score
0.0156252384185791,0.015625,5.0,5.0,"{'max_depth': 5, 'n_estimators': 5}",0.8291428571428572,102,0.9991428571428571
0.04688096046447754,0.015617609024047852,5.0,10.0,"{'max_depth': 5, 'n_estimators': 10}",0.8338571428571429,95,0.9998571428571429
0.07812094688415527,0.0,5.0,15.0,"{'max_depth': 5, 'n_estimators': 15}",0.8341428571428572,94,0.9988571428571429
0.09374809265136719,0.015627622604370117,5.0,20.0,"{'max_depth': 5, 'n_estimators': 20}",0.8448571428571429,85,0.9991428571428571
0.12499070167541504,0.015624761581420898,5.0,25.0,"{'max_depth': 5, 'n_estimators': 25}",0.8524285714285714,57,1.0
0.15623807907104492,0.015624761581420898,5.0,30.0,"{'max_depth': 5, 'n_estimators': 30}",0.8658571428571429,13,0.9994285714285714
0.1718592643737793,0.031248807907104492,5.0,35.0,"{'max_depth': 5, 'n_estimators': 35}",0.8622857142857143,23,0.999
0.2031078338623047,0.015626907348632812,5.0,40.0,"{'max_depth': 5, 'n_estimators': 40}",0.8657142857142858,14,0.9988571428571429
0.2187333106994629,0.031252145767211914,5.0,45.0,"{'max_depth': 5, 'n_estimators': 45}",0.865,17,0.9988571428571429
0.2343583106994629,0.046872615814208984,5.0,50.0,"{'max_depth': 5, 'n_estimators': 50}",0.8632857142857143,21,0.9988571428571429
0.031248807907104492,0.0,6.0,5.0,"{'max_depth': 6, 'n_estimators': 5}",0.8291428571428572,102,0.9995714285714286
0.06249547004699707,0.0,6.0,10.0,"{'max_depth': 6, 'n_estimators': 10}",0.8558571428571429,42,1.0
0.07812142372131348,0.015625715255737305,6.0,15.0,"{'max_depth': 6, 'n_estimators': 15}",0.8655714285714285,15,1.0
0.10936737060546875,0.015622377395629883,6.0,20.0,"{'max_depth': 6, 'n_estimators': 20}",0.878,6,1.0
0.12499022483825684,0.015625,6.0,25.0,"{'max_depth': 6, 'n_estimators': 25}",0.8842857142857142,3,1.0
0.15623736381530762,0.01562356948852539,6.0,30.0,"{'max_depth': 6, 'n_estimators': 30}",0.8885714285714286,1,1.0
0.1874866485595703,0.015623331069946289,6.0,35.0,"{'max_depth': 6, 'n_estimators': 35}",0.8857142857142857,2,1.0
0.2031106948852539,0.03125,6.0,40.0,"{'max_depth': 6, 'n_estimators': 40}",0.8798571428571429,4,1.0
0.2187347412109375,0.031246662139892578,6.0,45.0,"{'max_depth': 6, 'n_estimators': 45}",0.8782857142857143,5,1.0
0.24998164176940918,0.031249046325683594,6.0,50.0,"{'max_depth': 6, 'n_estimators': 50}",0.878,6,1.0
0.015626192092895508,0.015624284744262695,7.0,5.0,"{'max_depth': 7, 'n_estimators': 5}",0.8464285714285714,83,0.9998571428571429
0.04687094688415527,0.015625715255737305,7.0,10.0,"{'max_depth': 7, 'n_estimators': 10}",0.8484285714285714,81,1.0
0.07812023162841797,0.015627384185791016,7.0,15.0,"{'max_depth': 7, 'n_estimators': 15}",0.8551428571428571,44,1.0
0.09374403953552246,0.015623331069946289,7.0,20.0,"{'max_depth': 7, 'n_estimators': 20}",0.8442857142857143,91,1.0
0.12499022483825684,0.015624046325683594,7.0,25.0,"{'max_depth': 7, 'n_estimators': 25}",0.8595714285714285,29,1.0
0.15623950958251953,0.03124713897705078,7.0,30.0,"{'max_depth': 7, 'n_estimators': 30}",0.8605714285714285,26,1.0
0.1718580722808838,0.031249046325683594,7.0,35.0,"{'max_depth': 7, 'n_estimators': 35}",0.867,12,1.0
0.2031116485595703,0.0312504768371582,7.0,40.0,"{'max_depth': 7, 'n_estimators': 40}",0.8691428571428571,9,1.0
0.234358549118042,0.031249284744262695,7.0,45.0,"{'max_depth': 7, 'n_estimators': 45}",0.8732857142857143,8,1.0
0.2656068801879883,0.031247377395629883,7.0,50.0,"{'max_depth': 7, 'n_estimators': 50}",0.8678571428571429,11,1.0
0.015623807907104492,0.015625953674316406,8.0,5.0,"{'max_depth': 8, 'n_estimators': 5}",0.8292857142857143,101,0.9998571428571429
0.06249594688415527,0.0,8.0,10.0,"{'max_depth': 8, 'n_estimators': 10}",0.8444285714285714,90,1.0
0.07811927795410156,0.015623807907104492,8.0,15.0,"{'max_depth': 8, 'n_estimators': 15}",0.8494285714285714,71,1.0
0.10936594009399414,0.015625715255737305,8.0,20.0,"{'max_depth': 8, 'n_estimators': 20}",0.8532857142857143,54,1.0
0.12498974800109863,0.015624046325683594,8.0,25.0,"{'max_depth': 8, 'n_estimators': 25}",0.8574285714285714,37,1.0
0.14061641693115234,0.031246662139892578,8.0,30.0,"{'max_depth': 8, 'n_estimators': 30}",0.8622857142857143,23,1.0
0.18748879432678223,0.015624284744262695,8.0,35.0,"{'max_depth': 8, 'n_estimators': 35}",0.8605714285714285,26,1.0
0.20310759544372559,0.0312497615814209,8.0,40.0,"{'max_depth': 8, 'n_estimators': 40}",0.8624285714285714,22,1.0
0.2343578338623047,0.031249284744262695,8.0,45.0,"{'max_depth': 8, 'n_estimators': 45}",0.8681428571428571,10,1.0
0.265606164932251,0.031249523162841797,8.0,50.0,"{'max_depth': 8, 'n_estimators': 50}",0.8647142857142858,18,1.0
0.031246423721313477,0.015622854232788086,9.0,5.0,"{'max_depth': 9, 'n_estimators': 5}",0.8262857142857143,104,1.0
0.04687309265136719,0.01562356948852539,9.0,10.0,"{'max_depth': 9, 'n_estimators': 10}",0.8494285714285714,71,1.0
